SA2_CODE_2021,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Tot_persons_C21_M,Tot_persons_C21_F,Tot_persons_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_5_14_C21_M,Age_5_14_C21_F,Age_5_14_C21_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_15_19_C21_M,Age_15_19_C21_F,Age_15_19_C21_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_20_24_C21_M,Age_20_24_C21_F,Age_20_24_C21_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_25_34_C21_M,Age_25_34_C21_F,Age_25_34_C21_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_35_44_C21_M,Age_35_44_C21_F,Age_35_44_C21_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_45_54_C21_M,Age_45_54_C21_F,Age_45_54_C21_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_55_64_C21_M,Age_55_64_C21_F,Age_55_64_C21_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_65_74_C21_M,Age_65_74_C21_F,Age_65_74_C21_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_75_84_C21_M,Age_75_84_C21_F,Age_75_84_C21_P,Age_grp_85over_C11_M,Age_grp_85over_C11_F,Age_grp_85over_C11_P,Age_grp_85over_C16_M,Age_grp_85over_C16_F,Age_grp_85over_C16_P,Age_grp_85over_C21_M,Age_grp_85over_C21_F,Age_grp_85over_C21_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,OS_vis_C21_M,OS_vis_C21_F,OS_vis_C21_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Abor_C21_M,IP_Abor_C21_F,IP_Abor_C21_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_Tor_Strt_Is_2021_Ce_M,IP_Tor_Strt_Is_2021_Ce_F,IP_Tor_Strt_Is_2021_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2021_Ce_M,IP_B_Ab_To_St_Is_2021_Ce_F,IP_B_Ab_To_St_Is_2021_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,IP_Tot_2021_Ce_M,IP_Tot_2021_Ce_F,IP_Tot_2021_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Aust_2021_Ce_M,Brthplace_Aust_2021_Ce_F,Brthplace_Aust_2021_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,Brthplace_Elsewhere_2021_Ce_M,Brthplace_Elsewhere_2021_Ce_F,Brthplace_Elsewhere_2021_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Eng_only_2021_Ce_M,LSH_Eng_only_2021_Ce_F,LSH_Eng_only_2021_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,LSH_Oth_Lan_2021_Ce_M,LSH_Oth_Lan_2021_Ce_F,LSH_Oth_Lan_2021_Ce_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P,Aust_citiz_C21_M,Aust_citiz_C21_F,Aust_citiz_C21_P
401011001,6910,6054,12963,7921,7188,15113,9561,8647,18202,141,147,283,175,166,337,170,152,318,137,157,302,190,199,399,326,300,625,358,412,770,493,515,1004,398,442,842,1560,1659,3223,1770,1940,3708,1840,1882,3721,1844,1499,3345,2093,1841,3933,2649,2325,4966,947,607,1555,1011,723,1728,1346,1066,2409,742,540,1280,803,546,1351,960,687,1652,645,531,1177,675,548,1227,820,727,1551,332,278,607,497,446,939,690,689,1381,149,154,301,161,187,350,300,303,601,47,65,115,52,79,131,60,81,141,914,815,1722,1053,1128,2182,222,177,397,114,49,163,114,76,190,157,102,255,0,3,7,9,8,11,0,5,3,0,0,0,5,0,8,7,6,12,113,57,175,126,83,205,166,112,277,3091,2369,5461,3235,2607,5842,4142,3322,7471,2983,3118,6099,3808,3919,7724,4667,4753,9420,3535,2876,6408,3616,3107,6728,4837,4106,8940,2328,2624,4950,3181,3439,6615,3741,3963,7710,3641,3033,6675,3878,3396,7271,5134,4466,9594
401011002,3240,3438,6679,3391,3563,6953,3213,3615,6823,115,124,242,80,85,165,91,92,184,146,170,314,163,156,320,175,153,325,255,284,544,259,319,575,188,374,566,476,451,926,498,492,985,400,427,830,630,610,1238,641,628,1265,568,557,1124,372,311,682,346,296,645,372,377,750,351,365,716,385,397,782,315,319,632,421,431,851,371,388,763,362,373,732,268,320,588,380,436,815,415,450,863,133,191,331,178,218,392,236,303,544,69,173,245,91,161,245,93,196,287,125,103,229,100,102,209,31,14,47,16,24,41,13,28,39,17,37,59,0,4,6,0,3,6,4,0,9,0,0,0,0,0,0,3,3,7,22,27,50,13,30,44,23,41,69,2040,2276,4319,2021,2189,4210,2096,2330,4428,959,957,1920,1008,1033,2041,932,1015,1946,2382,2611,4992,2350,2555,4908,2393,2636,5030,621,629,1251,703,688,1389,616,678,1292,2474,2739,5209,2508,2711,5222,2593,2859,5446
401021003,3436,3401,6839,3465,3365,6830,3569,3483,7051,160,159,318,145,136,275,166,154,320,507,480,987,450,425,869,442,393,833,277,268,542,272,241,517,215,233,446,178,156,340,206,185,388,220,204,423,221,227,451,239,239,480,288,285,573,455,551,1004,366,394,759,340,366,709,670,629,1294,604,653,1259,547,571,1118,522,490,1015,601,518,1126,637,614,1254,292,271,564,384,394,774,454,413,868,128,107,237,159,122,281,198,195,386,21,58,84,42,56,93,66,64,127,11,16,22,9,15,25,0,0,0,15,12,26,18,20,40,23,26,52,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,14,13,31,18,20,44,25,33,61,2755,2730,5492,2717,2577,5291,2875,2741,5608,579,596,1173,538,570,1110,516,564,1084,3249,3216,6468,3195,3093,6287,3288,3211,6503,96,112,212,102,102,202,102,107,205,3159,3149,6318,3157,3043,6200,3290,3199,6491
401021004,8637,8684,17322,8608,8856,17472,8950,9256,18208,527,544,1067,458,459,918,468,407,880,1266,1130,2394,1300,1296,2595,1257,1336,2592,639,577,1222,575,545,1115,658,617,1275,489,361,848,406,342,751,402,381,783,571,652,1224,598,635,1241,645,703,1346,1220,1346,2571,1072,1256,2328,1060,1207,2271,1414,1467,2880,1393,1391,2786,1398,1467,2860,1367,1482,2846,1321,1393,2711,1268,1263,2533,786,642,1426,1036,1014,2040,1146,1198,2339,277,318,598,341,361,698,528,483,1012,89,154,245,113,168,282,120,191,305,23,45,70,38,45,84,9,12,19,33,39,69,28,35,64,44,46,91,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35,39,77,31,36,65,43,52,89,6696,6790,13480,6629,6843,13469,7044,7411,14457,1684,1657,3339,1583,1621,3200,1608,1600,3208,8004,8035,16039,7788,7980,15771,8257,8530,16790,408,453,862,456,516,967,412,480,895,7954,8030,15984,7842,8043,15886,8344,8654,16993
401021005,2109,2168,4279,2211,2258,4468,2301,2418,4726,125,106,228,106,96,200,127,114,243,310,276,593,285,261,544,270,245,510,146,116,262,145,153,293,143,145,289,106,94,205,110,92,205,115,116,229,144,160,304,176,181,359,158,174,336,275,316,593,223,247,473,248,287,539,337,345,678,329,338,662,334,346,675,317,320,637,337,360,701,324,352,673,181,184,368,290,255,546,322,327,653,111,145,250,128,154,279,179,193,372,45,108,160,76,120,198,76,133,211,22,24,45,3,9,13,0,0,0,16,9,24,6,8,13,8,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,24,6,8,13,15,10,30,1686,1749,3432,1757,1770,3530,1835,1899,3734,351,367,713,312,358,667,354,406,759,1944,2019,3969,1989,2031,4020,2097,2193,4290,103,99,195,98,112,208,87,115,206,1928,1985,3915,1986,2035,4023,2095,2208,4309
401021006,4495,4516,9012,4448,4575,9023,4616,4831,9448,300,247,551,240,241,480,243,252,490,615,661,1276,544,570,1107,601,564,1162,363,262,628,310,296,605,257,298,561,280,199,478,297,225,522,268,219,483,466,484,947,449,431,877,475,495,963,609,666,1277,503,523,1026,552,562,1111,676,689,1361,679,709,1380,604,654,1262,598,601,1202,645,686,1327,666,702,1362,355,361,721,474,510,980,545,587,1136,177,219,398,224,261,489,312,356,669,61,121,172,79,131,215,96,146,243,19,10,29,17,24,42,8,5,9,25,24,47,28,22,51,26,39,69,0,0,3,0,0,5,3,5,4,0,0,0,0,0,0,0,0,0,23,29,50,34,22,59,30,45,72,3632,3666,7298,3568,3720,7287,3755,3946,7704,674,699,1371,589,599,1193,568,620,1183,4051,4095,8148,4022,4188,8208,4173,4420,8598,162,183,347,170,183,354,173,182,363,4008,4050,8062,4015,4185,8196,4213,4449,8658
401021007,7103,7811,14917,8292,9077,17367,10661,11452,22113,564,573,1130,603,572,1175,769,696,1463,1122,1069,2191,1246,1217,2465,1524,1434,2962,484,556,1041,610,577,1184,674,669,1344,433,484,917,521,550,1072,718,696,1409,858,922,1777,1020,1124,2142,1522,1569,3091,1069,1180,2239,1123,1254,2378,1418,1535,2949,930,1071,2005,1065,1199,2269,1300,1504,2805,859,903,1765,896,1062,1959,1044,1236,2281,471,563,1035,747,872,1614,1029,1153,2176,238,335,581,331,448,771,503,704,1201,82,154,232,123,213,330,169,257,426,23,38,64,19,31,54,13,12,27,55,61,114,98,99,204,155,154,304,6,5,12,11,6,19,10,9,20,0,0,0,5,3,5,0,0,3,60,65,122,112,108,226,163,166,329,5850,6381,12231,6657,7144,13804,8596,9092,17691,1009,1170,2181,1177,1395,2582,1676,1968,3645,6614,7296,13911,7545,8183,15735,9619,10318,19937,288,328,622,376,451,823,649,768,1416,6499,7162,13662,7544,8179,15724,9807,10489,20298
401021008,2985,2938,5927,3151,3129,6285,3441,3384,6825,195,192,386,202,175,374,175,192,369,438,420,854,393,426,815,461,426,884,217,226,442,251,195,442,182,204,384,123,121,250,143,166,312,187,140,330,266,280,555,301,316,615,337,364,698,441,473,912,380,424,804,407,427,830,563,536,1098,537,544,1078,512,528,1040,412,392,802,503,495,990,582,553,1127,234,213,445,322,276,597,417,381,796,74,73,145,99,85,186,155,131,289,16,19,39,23,34,61,30,41,66,10,14,23,5,12,12,0,0,0,27,17,45,35,30,65,32,36,70,3,0,4,0,0,0,0,3,3,0,0,0,3,0,7,0,0,6,29,21,48,36,34,73,36,41,73,2489,2467,4956,2535,2514,5048,2842,2756,5598,393,400,790,375,392,769,396,439,830,2824,2792,5616,2865,2879,5746,3188,3135,6322,84,95,173,78,91,167,75,92,166,2762,2748,5510,2843,2838,5679,3170,3125,6287
401021009,2153,2266,4420,2480,2563,5045,2567,2755,5327,187,182,370,194,193,390,200,203,403,374,338,709,402,334,732,395,367,764,147,155,307,180,179,360,160,156,310,140,127,266,152,155,314,144,163,304,260,322,580,343,363,706,368,409,784,368,434,803,345,406,745,321,373,695,291,299,589,345,402,745,341,408,744,211,242,454,252,272,526,300,324,622,125,124,251,194,190,378,228,264,495,38,39,74,61,59,122,95,73,173,9,13,21,11,15,24,14,17,33,5,8,14,6,5,11,5,0,4,16,26,36,19,31,54,32,31,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,40,22,31,50,32,31,63,1798,1924,3727,2064,2105,4165,2150,2256,4407,282,307,587,289,319,606,292,368,657,2029,2157,4188,2293,2369,4661,2372,2525,4895,68,76,141,73,85,153,77,105,188,1970,2106,4076,2280,2345,4623,2385,2544,4926
401021010,2739,2613,5352,2757,2658,5418,3081,2959,6042,130,143,274,124,126,249,146,148,292,384,336,715,391,351,736,376,383,760,244,198,443,261,175,439,263,187,448,172,126,295,140,138,272,187,160,348,210,207,414,188,222,404,292,270,557,351,367,724,313,358,672,345,416,760,472,471,943,438,415,853,438,425,863,434,420,852,426,442,864,471,438,906,218,215,435,324,287,613,356,355,713,98,98,191,116,115,232,166,137,300,29,42,63,31,43,73,39,45,85,12,11,28,13,15,30,7,9,7,39,7,44,32,14,45,28,22,49,0,0,0,0,0,0,0,0,0,3,5,3,4,4,7,3,4,9,42,14,52,40,13,53,36,24,59,2130,2010,4136,2103,1978,4079,2292,2170,4461,531,518,1052,502,529,1027,638,646,1291,2374,2238,4614,2347,2236,4586,2601,2441,5049,296,305,601,287,298,588,344,380,727,2515,2385,4901,2520,2398,4925,2768,2637,5399
