store_name,latitude,longitude
Belconnen,-35.2447373,149.0640722
Canberra Airport,-35.2934008,149.1912931
Fyshwick,-35.3311369,149.1789364
Gungahlin,-35.2091928,149.1401112
Tuggeranong,-35.421767,149.0710278
Albury,-36.0740777,146.9494771
Alexandria,-33.9057506,151.1936432
Armidale,-30.5220581,151.680142
Artarmon,-33.8164687,151.1881398
Ashfield,-33.8778064,151.1297911
Balgowlah,-33.7898654,151.2665374
Ballina,-28.8634352,153.5315313
Bankstown Airport,-33.9294,150.9944
Batemans Bay,-35.7187735,150.174752
Bathurst,-33.4196428,149.603161
Bellambi,-34.3609277,150.9097425
Belrose,-33.7025531,151.2113212
Bennetts Green,-32.9973578,151.684913
Blacktown,-33.7991468,150.898181
Bonnyrigg,-33.8893395,150.8850108
Byron Bay,-28.6372267,153.5825023
Campbelltown,-34.0636125,150.8085388
Caringbah,-34.027946,151.1219055
Carlingford,-33.779051,151.0514615
Castle Hill,-33.7282514,150.9772334
Cessnock,-32.8422606,151.353641
Chatswood,-33.7857446,151.199219
Coffs Harbour,-30.3137387,153.0946499
Cowra,-33.8272,148.6833
Dubbo,-32.2614546,148.6470827
Dural,-33.7027009,151.0284475
Eastgardens,-33.94916,151.224651
Erina North,-33.4343,151.3776
Forbes,-33.3706939,148.0172792
Forster,-32.1985969,152.5177426
Frenchs Forest,-33.7530619,151.2444259
Gladesville,-33.8208029,151.1210991
Glendale,-32.9437,151.6255
Goulburn,-34.772665,149.6885785
Grafton,-29.7058836,152.9441744
Greenacre,-33.9012514,151.066317
Gregory Hills,-34.0235759,150.7607286
Griffith,-34.3027835,146.0473248
Heatherbrae,-32.7930629,151.7250468
Hoxton Park,-33.9285926,150.8893291
Inverell,-29.7694531,151.1208324
Katoomba,-33.7125948,150.3203968
Kembla Grange,-34.4701609,150.8287897
Kempsey,-31.0734094,152.8453978
Kingsgrove,-33.9349447,151.0989497
Kirrawee,-34.0306221,151.0754222
Kotara,-32.9392297,151.7102004
Lake Haven,-33.2389,151.4974
Leppington,-33.949,150.8327
Lidcombe,-33.8467827,151.048035
Lismore,-28.823255,153.2664319
Lithgow,-33.4840367,150.1449962
Maitland,-32.72527,151.5409579
Marsden Park,-33.7169995,150.8420235
McGraths Hill,-33.627452,150.84062
Minchinbury,-33.7793424,150.8102881
Mittagong,-34.4286,150.4882
Morisset,-33.1195178,151.4701515
Mudgee,-32.6125,149.6058
Narellan,-34.034696,150.7299914
Narrabeen,-33.7193344,151.2973302
Narrabri,-30.3072651,149.7821325
Northmead,-33.7971132,150.9899714
North Penrith,-33.7439,150.69
Nowra,-34.9108605,150.6022481
Orange,-33.2577396,149.1116883
Padstow,-33.9420976,151.0367608
Penrith,-33.7435888,150.6895911
Port Macquarie,-31.4542225,152.872867
Port Stephens,-32.7489022,152.0703421
Pymble,-33.7503662,151.1461177
Randwick,-33.9084036,151.2486064
Rockdale,-33.9579003,151.14488
Rose Bay,-33.8725461,151.2739754
Rouse Hill,-33.6750612,150.912359
Rozelle,-33.8655271,151.1765796
Rydalmere,-33.8095529,151.0341685
Seven Hills,-33.7666302,150.9569224
Shellharbour,-34.5726,150.8155
Singleton,-32.5436,151.1484
