store_name,latitude,longitude,sa2_code,sa2_name,sa3_name,sa4_name,state
Belconnen,-35.2447373,149.0640722,801011002,Belconnen,Belconnen,Australian Capital Territory,Australian Capital Territory
Canberra Airport,-35.2934008,149.1912931,801031114,Canberra Airport,Canberra East,Australian Capital Territory,Australian Capital Territory
Fyshwick,-35.3311369,149.1789364,801061130,Fyshwick,South Canberra,Australian Capital Territory,Australian Capital Territory
Gungahlin,-35.2091928,149.1401112,801041045,Mitchell,Gungahlin,Australian Capital Territory,Australian Capital Territory
Tuggeranong,-35.421767,149.0710278,801071080,Greenway,Tuggeranong,Australian Capital Territory,Australian Capital Territory
Albury,-36.0740777,146.9494771,109011172,Albury - East,Albury,Murray,New South Wales
Alexandria,-33.9057506,151.1936432,117031330,Erskineville - Alexandria,Sydney Inner City,Sydney - City and Inner South,New South Wales
Armidale,-30.5220581,151.680142,110011186,Armidale,Armidale,New England and North West,New South Wales
Artarmon,-33.8164687,151.1881398,121011401,St Leonards - Naremburn,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,New South Wales
Ashfield,-33.8778064,151.1297911,120031676,Ashfield - North,Strathfield - Burwood - Ashfield,Sydney - Inner West,New South Wales
Balgowlah,-33.7898654,151.2665374,122011418,Balgowlah - Clontarf - Seaforth,Manly,Sydney - Northern Beaches,New South Wales
Ballina,-28.8634352,153.5315313,112011236,Ballina,Richmond Valley - Coastal,Richmond - Tweed,New South Wales
Bankstown Airport,-33.9294,150.9944,119011356,Condell Park,Bankstown,Sydney - Inner South West,New South Wales
Batemans Bay,-35.7187735,150.174752,101041017,Batemans Bay,South Coast,Capital Region,New South Wales
Bathurst,-33.4196428,149.603161,103011059,Bathurst - East,Bathurst,Central West,New South Wales
Bellambi,-34.3609277,150.9097425,107041150,Woonona - Bulli - Russell Vale,Wollongong,Illawarra,New South Wales
Belrose,-33.7025531,151.2113212,122031692,Belrose,Warringah,Sydney - Northern Beaches,New South Wales
Bennetts Green,-32.9973578,151.684913,111011206,Belmont - Bennetts Green,Lake Macquarie - East,Newcastle and Lake Macquarie,New South Wales
Blacktown,-33.7991468,150.898181,116011626,Seven Hills - Prospect,Blacktown,Sydney - Blacktown,New South Wales
Bonnyrigg,-33.8893395,150.8850108,127021509,Bonnyrigg Heights - Bonnyrigg,Fairfield,Sydney - South West,New South Wales
Byron Bay,-28.6372267,153.5825023,112011240,Byron Bay,Richmond Valley - Coastal,Richmond - Tweed,New South Wales
Campbelltown,-34.0636125,150.8085388,123021437,Campbelltown - Woodbine,Campbelltown (NSW),Sydney - Outer South West,New South Wales
Caringbah,-34.027946,151.1219055,128011602,Caringbah,Cronulla - Miranda - Caringbah,Sydney - Sutherland,New South Wales
Carlingford,-33.779051,151.0514615,125021712,Carlingford - West,Carlingford,Sydney - Parramatta,New South Wales
Castle Hill,-33.7282514,150.9772334,115011553,Castle Hill - Central,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,New South Wales
Cessnock,-32.8422606,151.353641,106011108,Cessnock,Lower Hunter,Hunter Valley exc Newcastle,New South Wales
Chatswood,-33.7857446,151.199219,121011684,Chatswood - East,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,New South Wales
Coffs Harbour,-30.3137387,153.0946499,104021085,Coffs Harbour - South,Coffs Harbour,Coffs Harbour - Grafton,New South Wales
Cowra,-33.8272,148.6833,103021063,Cowra,Lachlan Valley,Central West,New South Wales
Dubbo,-32.2614546,148.6470827,105031101,Dubbo - South,Dubbo,Far West and Orana,New South Wales
Dural,-33.7027009,151.0284475,115021297,Dural - Kenthurst - Wisemans Ferry,Dural - Wisemans Ferry,Sydney - Baulkham Hills and Hawkesbury,New South Wales
Eastgardens,-33.94916,151.224651,117011323,Pagewood - Hillsdale - Daceyville,Botany,Sydney - City and Inner South,New South Wales
Erina North,-33.4343,151.3776,102011032,Gosford - Springfield,Gosford,Central Coast,New South Wales
Forbes,-33.3706939,148.0172792,103021065,Forbes,Lachlan Valley,Central West,New South Wales
Forster,-32.1985969,152.5177426,108011152,Forster,Great Lakes,Mid North Coast,New South Wales
Frenchs Forest,-33.7530619,151.2444259,122031696,Frenchs Forest - Oxford Falls,Warringah,Sydney - Northern Beaches,New South Wales
Gladesville,-33.8208029,151.1210991,126021498,Gladesville - Huntleys Point,Ryde - Hunters Hill,Sydney - Ryde,New South Wales
Glendale,-32.9437,151.6255,111011214,Warners Bay - Boolaroo,Lake Macquarie - East,Newcastle and Lake Macquarie,New South Wales
Goulburn,-34.772665,149.6885785,101051539,Goulburn,Goulburn - Mulwaree,Capital Region,New South Wales
Grafton,-29.7058836,152.9441744,104011080,Grafton,Clarence Valley,Coffs Harbour - Grafton,New South Wales
Greenacre,-33.9012514,151.066317,119011655,Greenacre - North,Bankstown,Sydney - Inner South West,New South Wales
Gregory Hills,-34.0235759,150.7607286,127011727,Gledswood Hills - Gregory Hills,Bringelly - Green Valley,Sydney - South West,New South Wales
Griffith,-34.3027835,146.0473248,113011256,Griffith (NSW),Griffith - Murrumbidgee (West),Riverina,New South Wales
Heatherbrae,-32.7930629,151.7250468,106031122,Raymond Terrace,Port Stephens,Hunter Valley exc Newcastle,New South Wales
Hoxton Park,-33.9285926,150.8893291,127031733,Prestons,Liverpool,Sydney - South West,New South Wales
Inverell,-29.7694531,151.1208324,110021191,Inverell,Inverell - Tenterfield,New England and North West,New South Wales
Katoomba,-33.7125948,150.3203968,124011452,Katoomba - Leura,Blue Mountains,Sydney - Outer West and Blue Mountains,New South Wales
Kembla Grange,-34.4701609,150.8287897,107011134,Unanderra - Mount Kembla,Dapto - Port Kembla,Illawarra,New South Wales
Kempsey,-31.0734094,152.8453978,108021155,Kempsey,Kempsey - Nambucca,Mid North Coast,New South Wales
Kingsgrove,-33.9349447,151.0989497,119021663,Kingsgrove - North,Canterbury,Sydney - Inner South West,New South Wales
Kirrawee,-34.0306221,151.0754222,128021538,Sutherland - Kirrawee,Sutherland - Menai - Heathcote,Sydney - Sutherland,New South Wales
Kotara,-32.9392297,151.7102004,111031222,Adamstown - Kotara,Newcastle,Newcastle and Lake Macquarie,New South Wales
Lake Haven,-33.2389,151.4974,102021056,Warnervale - Wadalba,Wyong,Central Coast,New South Wales
Leppington,-33.949,150.8327,127011597,West Hoxton - Middleton Grange,Bringelly - Green Valley,Sydney - South West,New South Wales
Lidcombe,-33.8467827,151.048035,125011586,Lidcombe,Auburn,Sydney - Parramatta,New South Wales
Lismore,-28.823255,153.2664319,112021248,Lismore,Richmond Valley - Hinterland,Richmond - Tweed,New South Wales
Lithgow,-33.4840367,150.1449962,103031070,Lithgow,Lithgow - Mudgee,Central West,New South Wales
Maitland,-32.72527,151.5409579,106021114,Maitland,Maitland,Hunter Valley exc Newcastle,New South Wales
Marsden Park,-33.7169995,150.8420235,116021629,Marsden Park - Shanes Park,Blacktown - North,Sydney - Blacktown,New South Wales
McGraths Hill,-33.627452,150.84062,115041301,Pitt Town - McGraths Hill,Rouse Hill - McGraths Hill,Sydney - Baulkham Hills and Hawkesbury,New South Wales
Minchinbury,-33.7793424,150.8102881,116031319,Rooty Hill - Minchinbury,Mount Druitt,Sydney - Blacktown,New South Wales
Mittagong,-34.4286,150.4882,114021286,Mittagong,Southern Highlands,Southern Highlands and Shoalhaven,New South Wales
Morisset,-33.1195178,151.4701515,111021218,Morisset - Cooranbong,Lake Macquarie - West,Newcastle and Lake Macquarie,New South Wales
Mudgee,-32.6125,149.6058,103031072,Mudgee,Lithgow - Mudgee,Central West,New South Wales
Narellan,-34.034696,150.7299914,123011699,Elderslie - Narellan,Camden,Sydney - Outer South West,New South Wales
Narrabeen,-33.7193344,151.2973302,122031697,Narrabeen - Wheeler Heights,Warringah,Sydney - Northern Beaches,New South Wales
Narrabri,-30.3072651,149.7821325,110031197,Narrabri,Moree - Narrabri,New England and North West,New South Wales
Northmead,-33.7971132,150.9899714,125041491,Northmead,Parramatta,Sydney - Parramatta,New South Wales
North Penrith,-33.7439,150.69,124031464,Penrith,Penrith,Sydney - Outer West and Blue Mountains,New South Wales
Nowra,-34.9108605,150.6022481,114011278,Nowra,Shoalhaven,Southern Highlands and Shoalhaven,New South Wales
Orange,-33.2577396,149.1116883,103041078,Orange - North,Orange,Central West,New South Wales
