brand,state,store_name,latitude,longitude
Home Hardware,NSW,Richardson's Home Timber & Hardware,-30.5171,151.6463
Home Hardware,NSW,Barraba Rural Traders Home Hardware,-30.3787,150.6075
Home Hardware,NSW,Blacksmiths Home Timber & Hardware,-33.0766,151.6923
Home Hardware,NSW,Blaxland Home Hardware,-33.7441,150.611
Home Hardware,NSW,Bombala Electrical Home Hardware,-36.9138,149.2394
Home Hardware,NSW,Boorowa Hardware,-34.4367,148.7198
Home Hardware,NSW,Bourke Home Timber & Hardware,-30.0898,145.938
Home Hardware,NSW,Newcastle Home Timber & Hardware,-32.9239,151.7285
Home Hardware,NSW,Casino Home Timber & Hardware,-28.8617,153.0485
Home Hardware,NSW,Clarence Town Home Hardware,-32.5833,151.7834
Home Hardware,NSW,Cobargo Co-op Society,-36.3155,149.9992
Home Hardware,NSW,Haynes Farm & Hardware,-31.8234,149.7197
Home Hardware,NSW,Roach's Home Timber & Hardware,-31.2721,149.2789
Home Hardware,NSW,Cant Bros. Home Timber & Hardware,-29.9631,148.3907
Home Hardware,NSW,Gibson's Home Hardware,-34.4552,149.4678
Home Hardware,NSW,Dorrigo Hardware,-30.3411,152.7121
Home Hardware,NSW,Dunedoo Home Hardware,-32.0152,149.3908
Home Hardware,NSW,Evans Head Home Hardware,-29.1177,153.4304
Home Hardware,NSW,Rohr's Home Timber & Hardware,-31.7202,148.6653
Home Hardware,NSW,Hicks Mitre 10,-29.7368,151.7374
Home Hardware,NSW,Bishop's Hardware & Building Supplies,-30.222,151.67
Home Hardware,NSW,Antonakos Home Timber & Hardware,-34.5085,144.8436
Home Hardware,NSW,Lake Home Timber & Hardware,-33.2995,146.378
Home Hardware,NSW,Laurieton Hardware,-31.6443,152.796
Home Hardware,NSW,Mr Cheap Home Hardware,-29.4278,147.9754
Home Hardware,NSW,Merriwa Home Timber & Hardware,-32.14,150.35
Home Hardware,NSW,Dippers Home Timber & Hardware,-29.465,149.845
Home Hardware,NSW,McKechnie Home Hardware,-30.3255,149.78
Home Hardware,NSW,Murphy's Home Timber & Hardware,-31.5622,147.1958
Home Hardware,NSW,Hudson Mitre 10,-35.34,149.2415
Home Hardware,NSW,Rylstone Home Timber & Hardware,-32.7985,149.973
Home Hardware,NSW,Hunter Hardware Centre,-32.916,151.781
Home Hardware,NSW,Sussex Inlet Home Hardware,-35.165,150.564
Home Hardware,NSW,Tanilba Bay Home Timber & Hardware,-32.7345,152.024
Home Hardware,NSW,Tea Gardens Home Timber & Hardware,-32.659,152.163
Home Hardware,NSW,Tenterfield Home Hardware,-29.0545,152.0185
Home Hardware,NSW,Riverina Co-operative Society,-35.1105,147.34
Home Hardware,NSW,Walgett Home Timber & Hardware,-30.0205,148.119
Home Hardware,NSW,Thompsons Home Timber & Hardware,-31.4635,152.731
Home Hardware,NSW,Campbell's Home Timber & Hardware,-33.487,151.323
Home Hardware,NSW,Yass Home Timber & Hardware,-34.842,148.911
Home Hardware,NT,Berry Springs Home Hardware,-12.6955,130.999
Home Hardware,QLD,Leather's Home Hardware,-19.3015,146.771
Home Hardware,QLD,Allora Home Hardware,-28.032,151.984
Home Hardware,QLD,Burdekin Home Hardware,-19.574,147.4075
Home Hardware,QLD,Biloela Home Timber & Hardware,-24.402,150.511
Home Hardware,QLD,Bowen Home Hardware,-20.0145,148.244
Home Hardware,QLD,Browns Plains Home Hardware,-27.665,153.038
Home Hardware,QLD,Charleville Home Timber & Hardware,-26.401,146.242
Home Hardware,QLD,Childers Home Timber & Hardware,-25.237,152.277
Home Hardware,QLD,N.J. Thompson's Home Hardware,-28.0665,145.681
Home Hardware,QLD,Dalby Hardware & Plumbing,-27.186,151.264
Home Hardware,QLD,John Crooks Home Timber & Hardware,-22.584,148.353
Home Hardware,QLD,Gailes Home Hardware,-27.6025,152.917
Home Hardware,QLD,Mackenzies Home Timber & Hardware,-28.544,150.311
Home Hardware,QLD,Hendra Home Hardware,-27.4205,153.073
Home Hardware,QLD,Mary Valley Home Hardware,-26.4595,152.677
