sa2_code,sa2_name,centroid_lat,centroid_lon
101021007,Braidwood,-35.45437687150383,149.79381375545935
101021008,Karabar,-35.37595339696881,149.23279552380106
101021009,Queanbeyan,-35.35104262195325,149.22545735891217
101021010,Queanbeyan - East,-35.35517041757369,149.2524071006286
101021012,Queanbeyan West - Jerrabomberra,-35.37759090435436,149.20284370431784
101021610,Googong,-35.428050548734454,149.23418387326996
101021611,Queanbeyan Surrounds,-35.44346577655738,149.3918446817542
101031013,Bombala,-36.877848834112775,149.0452772254073
101031014,Cooma,-36.250198008588384,149.11940359349617
101031015,Cooma Surrounds,-36.12662286189992,149.08153351417812
101031016,Jindabyne - Berridale,-36.491331266111445,148.60902243248793
101041017,Batemans Bay,-35.701117900207755,150.18171350953995
101041018,Batemans Bay - South,-35.78399516950298,150.21062844999562
101041019,Bega - Tathra,-36.72502083194517,149.90207642404897
101041020,Bega-Eden Hinterland,-36.92743224107136,149.7194581525098
101041021,Broulee - Tomakin,-35.846014182739566,150.1616935351989
101041022,Deua - Wadbilliga,-36.1767648211743,149.7467515198935
101041023,Eden,-37.03132002476824,149.89099300014018
101041024,Eurobodalla Hinterland,-35.77412235548046,150.07240465357626
101041025,Merimbula - Tura Beach,-36.90018494661625,149.88212528532333
101041026,Moruya - Tuross Head,-35.94713293244142,150.1071989742688
101041027,Narooma - Bermagui,-36.312965927793954,150.07375949663287
101051539,Goulburn,-34.750588306550455,149.71958140750388
101051540,Goulburn Surrounds,-34.515648519565126,149.60389716752536
101061541,Yass,-34.82286033799533,148.91595812575366
101061542,Yass Surrounds,-34.87631255957147,148.89316793728204
101061543,Young,-34.32111127407415,148.3530408071353
101061544,Young Surrounds,-34.309718848074326,148.49572789015855
102011028,Avoca Beach - Copacabana,-33.47541948225265,151.43017631016286
102011029,Box Head - MacMasters Beach,-33.50853382020209,151.38476182160173
102011030,Calga - Kulnura,-33.339628994324286,151.17529383675895
102011031,Erina - Green Point,-33.423244001036636,151.40250255140086
102011032,Gosford - Springfield,-33.42525894627832,151.34788820162987
102011033,Kariong,-33.43972001324141,151.29452795642297
102011034,Kincumber - Picketts Valley,-33.47045763777961,151.40274139206014
102011035,Narara,-33.3960957156125,151.33421475871594
102011036,Niagara Park - Lisarow,-33.38428093302862,151.37282010759466
102011037,Point Clare - Koolewong,-33.44818604371605,151.31632016836738
102011038,Saratoga - Davistown,-33.4774982465874,151.35756004171844
102011039,Terrigal - North Avoca,-33.44518706941302,151.42760679025224
102011040,Umina - Booker Bay - Patonga,-33.5291783887786,151.29818690719028
102011041,Wamberal - Forresters Beach,-33.40970803448021,151.449948735333
102011042,Woy Woy - Blackwall,-33.48518445026459,151.3056518641483
102011043,Wyoming,-33.40474354332135,151.36405689655695
102021044,Bateau Bay - Killarney Vale,-33.379606361100755,151.46744906442603
102021045,Blue Haven - San Remo,-33.204061365340465,151.52417463873425
102021046,Budgewoi - Buff Point - Halekulani,-33.22663451702528,151.5608687818582
102021047,Chittaway Bay - Tumbi Umbi,-33.35448084529562,151.4282814463115
102021048,Gorokan - Kanwal - Charmhaven,-33.257939407736366,151.4947532610865
102021049,Jilliby - Yarramalong,-33.172960906544795,151.32412875011522
102021050,Lake Munmorah - Mannering Park,-33.18046227408414,151.57594590178905
102021051,Ourimbah - Fountaindale,-33.31650995426432,151.33511771020054
102021052,Summerland Point - Gwandalan,-33.14097411415217,151.57690432822145
102021053,The Entrance,-33.32909276628795,151.5120353079451
102021054,Toukley - Norah Head,-33.27306827217699,151.5545856609828
102021055,Tuggerah - Kangy Angy,-33.304878070802914,151.41217741299872
102021056,Warnervale - Wadalba,-33.24203011527514,151.45815314583027
102021057,Wyong,-33.2765721141041,151.4352153258876
103011059,Bathurst - East,-33.4152531097314,149.62919678746366
103011060,Bathurst Surrounds,-33.439704500183716,149.5332924226269
103011061,Oberon,-33.887839113125395,149.7758143798584
103011612,Bathurst - South,-33.45233050550371,149.57815982419146
103011613,Bathurst - West,-33.3747769748084,149.55014095549515
103021062,Condobolin,-32.906601357971155,147.03539461811926
103021063,Cowra,-33.79105398763665,148.66102085500955
103021064,Cowra Surrounds,-33.739957004156516,148.68282553352495
103021065,Forbes,-33.461683218492524,147.92490226434742
103021066,Grenfell,-33.87925926593949,148.02590878556865
103021067,Parkes (NSW),-33.1729253387973,148.1898519710405
103021068,Parkes Surrounds,-32.95347984262536,148.00128929343936
103021069,West Wyalong,-33.900078651105254,146.9839998656218
103031070,Lithgow,-33.47863544273002,150.1247763694043
103031071,Lithgow Surrounds,-33.306789201077684,150.05138611858118
103031072,Mudgee,-32.60394155902145,149.60112973060836
103031073,Mudgee Surrounds - East,-32.74792197327517,150.02852840800932
103031074,Mudgee Surrounds - West,-32.40488098868541,149.54327183671924
103031075,Wollangambe - Wollemi,-33.16005992884426,150.38557417167925
103041076,Blayney,-33.60779729113146,149.14388777056476
103041077,Orange,-33.30129848786901,149.11262229307235
103041078,Orange - North,-33.249427165625356,149.12587860316702
103041079,Orange Surrounds,-33.14634683116545,148.84714918947648
104011080,Grafton,-29.677200410609498,152.9354554722396
104011081,Grafton Surrounds,-29.634367039157084,152.73780246898266
104011082,Maclean - Yamba - Iluka,-29.420437023689317,153.2662052332356
104021083,Bellingen,-30.448005132497908,152.71991140924786
104021084,Coffs Harbour - North,-30.282147996906982,153.10420139279785
104021085,Coffs Harbour - South,-30.315153370698905,153.0958069403586
104021086,Coramba - Nana Glen - Bucca,-30.2083714020944,153.03289915463938
104021087,Dorrigo,-30.213605368975955,152.62050787988298
104021088,Korora - Emerald Beach,-30.206108890717438,153.14082907238392
104021089,Sawtell - Boambee,-30.376119592930138,153.03710825622528
104021090,Urunga,-30.489766281893182,152.99909829779634
104021091,Woolgoolga - Arrawarra,-30.027706088030087,153.16690192886156
105011092,Bourke - Brewarrina,-29.912116131909663,145.74680680399143
105011093,Cobar,-31.873162418958298,145.48225810722968
105011094,Coonamble,-30.97900371850826,148.22423370173962
105011095,Nyngan - Warren,-31.44863855038094,147.08106896309351
105011096,Walgett - Lightning Ridge,-29.763538586749085,148.06587616184524
105021097,Broken Hill,-31.94402772502467,141.47927171953242
105021098,Far West,-31.08173216839904,142.71671146776325
105031099,Coonabarabran,-31.354136513174314,149.40657088731794
105031100,Dubbo - East,-32.247320134415574,148.6708062278065
105031101,Dubbo - South,-32.267143777946075,148.628544822555
105031102,Dubbo - West,-32.232884706630806,148.58086191431084
105031103,Dubbo Surrounds,-32.26114497098324,148.70396791152754
105031104,Gilgandra,-31.618373347174767,148.64274649535506
105031105,Narromine,-32.1806188260241,148.053081440318
105031106,Wellington,-32.65128265706541,148.96382088878516
106011107,Branxton - Greta - Pokolbin,-32.709844012444165,151.3255198999094
106011108,Cessnock,-32.83196073782905,151.36207793190144
106011109,Cessnock Surrounds,-32.96269957923694,151.18928744287535
106011110,Dungog,-32.34935863638913,151.60806845228126
106011111,Kurri Kurri - Abermain,-32.80067401397359,151.46111986285803
106011112,Singleton,-32.575213385321945,151.17727074826144
106011113,Singleton Surrounds,-32.629101413959106,151.01077970461813
106021114,Maitland,-32.76008446894712,151.53881157908424
106021116,Maitland - North,-32.6770543432186,151.57902504434654
106021614,East Maitland - Metford,-32.769845165069,151.5899664603628
106021615,Rutherford (North) - Aberglasslyn,-32.67043204050963,151.48087255300152
106021616,Rutherford (South) - Telarah,-32.73400740080899,151.49307780246707
106021617,Tenambit - East Maitland,-32.734622130873746,151.61155879640546
106021618,Thornton - Millers Forest,-32.76295172552897,151.66946869258942
106031119,Anna Bay,-32.773640082813515,152.03964216340583
106031120,Lemon Tree Passage - Tanilba Bay,-32.744259354958345,152.0019849840279
106031121,Nelson Bay Peninsula,-32.73652112087024,152.12665972287806
106031122,Raymond Terrace,-32.770378207018645,151.7566533193737
106031123,Seaham - Woodville,-32.65924487930546,151.70725810169415
106031124,Tea Gardens - Hawks Nest,-32.62784932638472,152.1269901725087
106031125,Williamtown - Medowie - Karuah,-32.71711284017446,151.89327262337375
106041126,Muswellbrook,-32.31406139362466,150.90823406904784
106041127,Muswellbrook Surrounds,-32.450212639342304,150.60755286789544
106041128,Scone,-32.05015366746318,150.85798241695088
106041129,Scone Surrounds,-31.967508751515215,150.72855479356923
107011131,Dapto - Avondale,-34.52249082553664,150.76652929210098
107011132,Horsley - Kembla Grange,-34.47747290232549,150.76419044185562
107011133,Port Kembla Industrial,-34.460981324481445,150.8856702185376
107011134,Unanderra - Mount Kembla,-34.441940784836184,150.8241187037976
107011545,Berkeley - Lake Heights - Cringila,-34.477928755309684,150.84607502887735
107011546,Port Kembla - Warrawong,-34.487972939996,150.89535761935554
107011547,Windang - Primbee,-34.515252432374346,150.87829033842002
107021135,Illawarra Catchment Reserve,-34.36939834795253,150.71553686985848
107031136,Albion Park - Macquarie Pass,-34.57681146444901,150.71915456981404
107031137,Albion Park Rail,-34.56184029139398,150.7948754885474
107031138,Kiama,-34.68180104677984,150.84346199705394
107031139,Kiama Downs - Minnamurra,-34.639584819981415,150.84898425861488
107031140,Kiama Hinterland - Gerringong,-34.68905360586901,150.75415115933268
107031141,Shellharbour - Flinders,-34.60212768166735,150.83191025743264
107031142,Shellharbour - Oak Flats,-34.564809620548246,150.82649899238083
107031143,Warilla,-34.55482921905556,150.85420128369054
107041144,Balgownie - Fairy Meadow,-34.3916890376062,150.8853565348227
107041145,Corrimal - Tarrawanna - Bellambi,-34.370868896906146,150.89710097761744
107041146,Figtree - Keiraville,-34.41914312503238,150.85464788408396
107041147,Helensburgh,-34.186465309017706,150.95315277275807
107041148,Thirroul - Austinmer - Coalcliff,-34.289181257245865,150.93798048944186
107041150,Woonona - Bulli - Russell Vale,-34.34065431506089,150.90381396725786
107041548,Wollongong - East,-34.425122876591466,150.89606971246707
107041549,Wollongong - West,-34.428824333781975,150.8781989482214
108011151,Bulahdelah - Stroud,-32.36496903116304,152.07056055350154
108011152,Forster,-32.221279771463216,152.53196943390617
108011153,Forster-Tuncurry Surrounds,-32.25050513522394,152.40329174745946
108011154,Tuncurry,-32.16067382514722,152.48560429523752
108021155,Kempsey,-31.081442708811682,152.82856096783394
108021156,Kempsey Surrounds,-30.919490771821454,152.5771043950638
108021157,Macksville - Scotts Head,-30.720972268255835,152.95357012086228
108021158,Nambucca Heads,-30.64565773536295,152.98497902049613
108021159,Nambucca Heads Surrounds,-30.689051973845242,152.75960553908456
108021160,South West Rocks,-30.91446075195122,153.04934865098073
108031161,Lord Howe Island,-31.552544408865977,159.07680181071868
108041162,Laurieton - Bonny Hills,-31.618629209254905,152.69328022756625
108041164,Port Macquarie - West,-31.437894396957585,152.8604320494869
108041165,Port Macquarie Surrounds,-31.366469659810328,152.4739360450775
108041166,Wauchope,-31.4676437525049,152.7683508414732
108041619,Port Macquarie - East,-31.454390731961958,152.92442378141823
108041620,Port Macquarie - South,-31.483783831395822,152.89351641807244
108051167,Gloucester,-31.905403368635234,151.79305175448658
108051168,Old Bar - Manning Point - Red Head,-31.972540492846097,152.5441017079485
108051169,Taree,-31.90931491372353,152.46696064116585
108051170,Taree Surrounds,-31.77594510701644,152.25497000682032
108051171,Wingham,-31.85812574455277,152.3557262602225
109011172,Albury - East,-36.05964660175795,147.01362225233834
109011173,Albury - North,-36.04098337441563,146.90232450072176
109011174,Albury - South,-36.06165234714355,146.86737441916372
109011175,Albury Surrounds,-35.756339228415456,147.18392802491127
109011176,Lavington,-36.03167736682685,146.94147726589804
109021177,Hay,-34.15016406959044,144.70806765417822
109021178,Wentworth - Buronga,-34.11418926396834,142.0411721012448
109021179,Wentworth-Balranald Region,-33.782950596932764,142.9025048982777
109031180,Corowa,-35.993837904608334,146.35846877447773
109031181,Corowa Surrounds,-35.64256774078666,146.2813381387108
109031182,Deniliquin,-35.52907588303181,144.97318174523835
109031183,Deniliquin Surrounds,-35.3072311003361,144.61225942534188
109031184,Moama,-36.057833539391375,144.7757087493572
109031185,Tocumwal - Finley - Jerilderie,-35.45323122983325,145.74453021355708
110011186,Armidale,-30.503124618222014,151.66778495015097
110011187,Armidale Surrounds - North,-30.33641540210733,151.9307440566836
110011188,Armidale Surrounds - South,-30.5774174830116,151.39433086232262
110011189,Walcha,-31.166153935045468,151.75333263228987
110021190,Glen Innes,-29.644824527300603,151.90300530518434
110021191,Inverell,-29.76259666421415,151.1100266615537
110021192,Inverell Surrounds - East,-29.45886539502503,151.11569361152365
110021193,Inverell Surrounds - West,-29.74337707293622,150.58989310026016
110021194,Tenterfield,-28.943322895047302,152.08721037820615
110031195,Moree,-29.46106044340144,149.8265460885348
110031196,Moree Surrounds,-29.229157560774723,149.70390844585972
110031197,Narrabri,-30.353133827783036,149.80282422439223
110031198,Narrabri Surrounds,-30.333174082005566,149.5223293105631
110041199,Gunnedah,-30.984412874286146,150.22302787142146
110041200,Gunnedah Surrounds,-30.990755207215237,150.1748635499637
110041201,Quirindi,-31.550476823576844,150.438098685827
110041202,Tamworth - East,-31.155431515240643,150.95503623592444
110041203,Tamworth - North,-31.092233491848837,150.9616253475904
110041204,Tamworth - West,-31.090993138166127,150.86071164951946
