sa2_code,dist_nearest_competitor_km,competitors_within_5km,competitors_within_10km
101021007,1.243325420814556,1,1
101021008,4.059995928418809,2,3
101021009,1.9039133225393987,2,3
101021010,1.8203499939247798,2,3
101021012,5.4553090275806335,0,3
101021610,9.77174243439009,0,2
101021611,17.66091279285227,0,0
101031013,17.71933659333547,0,0
101031014,1.7262331776555864,1,1
101031015,12.736236412090344,0,0
101031016,8.461195415037652,0,1
101041017,25.18205591139527,0,0
101041018,18.42913606507442,0,0
101041019,7.761622199085467,0,1
101041020,13.677101671458445,0,0
101041021,10.337175153239835,0,0
101041022,27.395193941926795,0,0
101041023,3.7159841362422186,1,1
101041024,15.408717080702063,0,0
101041025,2.7089579151079985,3,3
101041026,4.492702832614949,1,1
101041027,6.686379736364289,0,1
101051539,0.482729606103538,1,1
101051540,14.169637677829003,0,0
101061541,2.1758139479627707,1,1
101061542,4.1478167299867135,1,1
101061543,36.028593150755654,0,0
101061544,24.945481775150324,0,0
102011028,2.6128441900127477,2,2
102011029,4.2143426660272425,2,3
102011030,4.022986062955402,1,1
102011031,5.433335483274212,0,5
102011032,2.5759227609403808,2,6
102011033,3.1485590355531103,2,3
102011034,0.21589177704420087,2,5
102011035,2.0840773827876315,3,3
102011036,2.2046781700928437,1,3
102011037,2.9925939486532247,3,5
102011038,3.374845832174723,3,5
102011039,3.8498102096292057,2,2
102011040,5.223872969659705,0,1
102011041,8.266804154175743,0,3
102011042,1.6214613413059293,1,5
102011043,4.014007766090248,3,6
102021044,9.094229800810071,0,1
102021045,4.275791619681292,1,1
102021046,6.751941175305156,0,1
102021047,5.417184369607678,0,1
102021048,3.3718292782637422,1,1
102021049,16.24097325331563,0,0
102021050,9.723949850193437,0,1
102021051,6.30161861504549,0,1
102021052,12.7218550088443,0,0
102021053,11.444590948279943,0,0
102021054,7.937018771325309,0,1
102021055,7.64488389337104,0,1
102021056,3.2032628999362003,1,1
102021057,7.308700893528409,0,1
103011059,2.314716236762864,1,2
103011060,4.2136756114842795,1,2
103011061,21.854648559014567,0,0
103011612,3.7479264878569243,1,2
103011613,5.308957067525678,0,2
103021062,22.42032522755469,0,0
103021063,69.52706394028873,0,0
103021064,63.768843255474565,0,0
103021065,11.343999683558941,0,0
103021066,54.93383737517919,0,0
103021067,4.986392597656981,1,1
103021068,25.340338905284554,0,0
103021069,78.80947419948592,0,0
103031070,22.647667376355404,0,0
103031071,42.23893049194548,0,0
