SA2_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
401011001,9561,8647,18202,170,152,318,326,300,625,398,442,842,1840,1882,3721,2649,2325,4966,1346,1066,2409,960,687,1652,820,727,1551,690,689,1381,300,303,601,60,81,141,9117,8251,17363,444,393,839,157,102,255,0,5,3,7,6,12,166,112,277,4142,3322,7471,4667,4753,9420,4837,4106,8940,3741,3963,7710,5134,4466,9594,38,44,82,300,275,569,335,371,707,1304,1352,2659,1065,1132,2196,6673,6361,13043,689,586,1272,605,375,983,143,123,266,98,89,187,63,47,103,7441,7135,14573,3930,3077,7001
401011002,3213,3615,6823,91,92,184,175,153,325,188,374,566,400,427,830,568,557,1124,372,377,750,315,319,632,362,373,732,415,450,863,236,303,544,93,196,287,3079,3483,6562,134,132,261,17,37,59,4,0,9,3,3,7,23,41,69,2096,2330,4428,932,1015,1946,2393,2636,5030,616,678,1292,2593,2859,5446,27,28,56,165,148,311,161,310,469,284,306,591,214,268,481,2313,2484,4797,222,256,479,144,193,332,37,58,98,26,42,68,9,7,14,2627,2760,5389,806,1220,2019
401021003,3569,3483,7051,166,154,320,442,393,833,215,233,446,220,204,423,288,285,573,340,366,709,547,571,1118,637,614,1254,454,413,868,198,195,386,66,64,127,3384,3338,6721,188,142,333,23,26,52,0,0,0,0,6,5,25,33,61,2875,2741,5608,516,564,1084,3288,3211,6503,102,107,205,3290,3199,6491,44,30,74,408,357,768,166,174,342,65,88,152,51,109,165,1345,1617,2959,628,564,1195,566,419,985,153,98,251,86,61,144,0,3,3,3294,3257,6551,157,161,319
401021004,8950,9256,18208,468,407,880,1257,1336,2592,658,617,1275,402,381,783,645,703,1346,1060,1207,2271,1398,1467,2860,1268,1263,2533,1146,1198,2339,528,483,1012,120,191,305,8483,8900,17386,466,353,824,44,46,91,0,0,0,0,0,0,43,52,89,7044,7411,14457,1608,1600,3208,8257,8530,16790,412,480,895,8344,8654,16993,136,122,261,1228,1288,2511,559,552,1111,187,218,403,237,419,656,4843,5333,10178,1057,922,1982,702,702,1410,231,217,447,98,98,197,13,4,13,8395,8820,17221,262,285,545
401021005,2301,2418,4726,127,114,243,270,245,510,143,145,289,115,116,229,158,174,336,248,287,539,334,346,675,324,352,673,322,327,653,179,193,372,76,133,211,2190,2327,4521,114,90,205,8,10,24,0,0,0,0,0,0,15,10,30,1835,1899,3734,354,406,759,2097,2193,4290,87,115,206,2095,2208,4309,38,33,70,254,232,490,115,111,227,52,61,112,42,92,137,1019,1204,2224,367,328,692,271,283,549,79,77,159,61,55,114,0,4,5,2089,2182,4265,184,239,420
401021006,4616,4831,9448,243,252,490,601,564,1162,257,298,561,268,219,483,475,495,963,552,562,1111,604,654,1262,666,702,1362,545,587,1136,312,356,669,96,146,243,4364,4602,8964,253,227,482,26,39,69,3,5,4,0,0,0,30,45,72,3755,3946,7704,568,620,1183,4173,4420,8598,173,182,363,4213,4449,8658,54,70,130,549,532,1082,168,243,410,67,91,151,98,183,281,1880,2230,4105,735,655,1391,590,549,1137,175,186,357,124,130,250,9,6,17,4160,4424,8585,309,285,589
401021007,10661,11452,22113,769,696,1463,1524,1434,2962,674,669,1344,718,696,1409,1522,1569,3091,1418,1535,2949,1300,1504,2805,1044,1236,2281,1029,1153,2176,503,704,1201,169,257,426,10162,11048,21209,500,404,899,155,154,304,10,9,20,0,0,3,163,166,329,8596,9092,17691,1676,1968,3645,9619,10318,19937,649,768,1416,9807,10489,20298,176,177,349,1452,1366,2816,520,530,1051,177,261,443,308,579,891,4572,5495,10066,1589,1484,3070,1213,1335,2548,381,402,783,237,240,476,21,13,41,10058,10864,20923,358,437,793
401021008,3441,3384,6825,175,192,369,461,426,884,182,204,384,187,140,330,337,364,698,407,427,830,512,528,1040,582,553,1127,417,381,796,155,131,289,30,41,66,3238,3230,6467,204,154,358,32,36,70,0,3,3,0,0,6,36,41,73,2842,2756,5598,396,439,830,3188,3135,6322,75,92,166,3170,3125,6287,41,39,81,438,401,838,145,164,312,51,42,96,59,134,190,1288,1559,2847,587,479,1067,530,416,945,148,111,256,70,49,117,4,0,3,3159,3171,6325,152,144,293
401021009,2567,2755,5327,200,203,403,395,367,764,160,156,310,144,163,304,368,409,784,321,373,695,341,408,744,300,324,622,228,264,495,95,73,173,14,17,33,2457,2660,5123,114,94,206,32,31,63,0,0,0,0,0,0,32,31,63,2150,2256,4407,292,368,657,2372,2525,4895,77,105,188,2385,2544,4926,53,56,102,381,342,718,128,120,248,45,49,89,65,138,201,978,1303,2278,410,400,811,334,253,589,100,84,189,48,31,80,0,6,11,2411,2624,5034,88,95,189
401021010,3081,2959,6042,146,148,292,376,383,760,263,187,448,187,160,348,292,270,557,345,416,760,438,425,863,471,438,906,356,355,713,166,137,300,39,45,85,2920,2837,5758,159,120,279,28,22,49,0,0,0,3,4,9,36,24,59,2292,2170,4461,638,646,1291,2601,2441,5049,344,380,727,2768,2637,5399,34,43,78,352,362,709,222,156,377,95,95,189,79,130,212,1595,1651,3250,381,324,705,281,204,480,104,78,183,62,58,119,9,3,11,2790,2773,5571,184,138,319
